Organization,Tier,Total Score,Free Users,License Type,Customer Usage Health,True Activation,Renewal Target Amount,Days to Renewal,Renewal Date,License Pts,Health Pts,Activation Pts,Free User Pts,ARR Pts,Renewal Pts
Cinvestav,Tier 3,42,247,Right to Deploy,Red,0.6545454545454545,10770.0,198,2026-08-14,3,3,2,25,6,3
Georgia State University,Tier 3,41,145,Defined Group,Red,0.6571428571428571,7539.0,277,2026-11-01,5,3,2,25,4,2
Santa Clara University - College of Arts and Sciences,Tier 3,41,15,Named User,Red,0.8461538461538461,5385.0,339,2027-01-02,7,3,10,14,4,3
Rowan University - Department of Chemical Engineering,Tier 3,41,144,Defined Group,Red,0.375,5169.6,338,2027-01-01,5,3,2,25,4,2
"Amity Institute of Biotechnology, Amity University Haryana (Amity University)",Tier 3,40,260,Right to Deploy,Red,0.325,6462.0,352,2027-01-15,3,3,2,25,4,3
Indian Institute of Technology,Tier 3,39,154,Right to Deploy,Red,0.058333333333333334,12924.0,1052,2028-12-15,3,3,2,25,6,0
IUF GMBH- 40 Named Users,Tier 3,39,2,Named User,Yellow,0.8723404255319149,10123.8,369,2027-02-01,7,8,10,5,6,3
"Centre for Infectious Disease Research, Diagnostics and Laboratory Surveillance (IDS)(RIVM)",Tier 3,38,14,Defined Group,Red,0.8,5385.0,274,2026-10-29,5,3,10,14,4,2
University of the West Scotland - School of Health and Life Sciences,Tier 3,38,13,Defined Group,Red,0.8157894736842105,8185.2,204,2026-08-20,5,3,10,14,4,2
University of Saskatchewan,Tier 3,38,344,Defined Group,,0.0,5385.0,366,2027-01-29,5,0,2,25,4,2
Centenary Institute,Tier 3,37,8,Named User (Chargeback),Red,0.8275862068965517,6031.2,176,2026-07-23,4,3,10,10,4,6
"University of Nevada, Las Vegas - School of Medicine (Year 2)",Tier 3,37,28,Right to Deploy,Red,0.18666666666666668,21540.0,409,2027-03-13,3,3,2,18,8,3
University Hospital of Schleswig-Holstein,Tier 3,35,139,Right to Deploy,,0.0,4308.0,367,2027-01-30,3,0,2,25,2,3
Concordia University of Wisconsin  - School of Pharmacy & School of Arts & Sciences - Robert Burlage,Below Threshold,32,1,Named User,Red,0.5,4308.0,44,2026-03-13,7,3,2,5,2,13
Chulabhorn Graduate Institute,Below Threshold,31,13,Named User,Red,0.2,4308.0,349,2027-01-12,7,3,2,14,2,3
Swarthmore College,Below Threshold,29,5,Named User,Red,0.6434782608695652,7471.0,234,2026-09-19,7,3,2,10,4,3
High Point University - Office of Information Technology,Below Threshold,29,14,Right to Deploy,Red,0.6333333333333333,6462.0,343,2027-01-06,3,3,2,14,4,3
Berry College - College of Math & Science,Below Threshold,25,6,Right to Deploy,Red,0.23076923076923078,6462.0,272,2026-10-27,3,3,2,10,4,3
Comprehensive Cancer Center,Need Hex Data,0,0,Named User,Red,0.9,4308.0,93,2026-05-01,7,3,14,0,2,9
ITESO,Need Hex Data,0,0,Named User,,0.0,5330.0,377,2027-02-09,7,0,2,0,4,3
UniversitÃ¤t Leipzig - Faculty of Medicine,Need Hex Data,0,0,Named User,Yellow,0.8468468468468469,22594.0,352,2027-01-15,7,8,10,0,8,3
"University of Rhode Island (URI), College of Pharmacy",Need Hex Data,0,0,Named User,Yellow,0.9215686274509803,9908.4,369,2027-02-01,7,8,14,0,4,3
University of Hannover - Medizinische Hochschule Hannover,Need Hex Data,0,0,Named User,Yellow,0.7375,17232.0,141,2026-06-18,7,8,6,0,8,6
University of Cincinnati,Need Hex Data,0,0,Defined Group,Red,1.28,18840.0,170,2026-07-17,5,3,18,0,8,5
Czech Academy of Sciences - Institute of Microbiology,Need Hex Data,0,0,Defined Group,Yellow,1.5769230769230769,26702.0,349,2027-01-12,5,8,18,0,10,2
Philipps Universitat Marburg - Institute for Tumor Immunology,Need Hex Data,0,0,Named User,Green,1.0,5385.0,251,2026-10-06,7,20,18,0,4,3
University of Ljubljana-Biotechnical faculty,Need Hex Data,0,0,Right to Deploy,Yellow,0.9365079365079365,9262.2,35,2026-03-04,3,8,14,0,4,13
Wadsworth Center - Biodefense Lab,Need Hex Data,0,0,Named User,Red,0.55,4308.0,137,2026-06-14,7,3,2,0,2,6
INRS - Isabelle Plante,Need Hex Data,0,0,Named User,Green,1.0,5169.6,19,2026-02-16,7,20,18,0,4,15
Wadsworth Center - Bacteriology Lab,Need Hex Data,0,0,Named User,,0.0,4308.0,133,2026-06-10,7,0,2,0,2,6
"UK Health Security Agency, Research & Evaluation",Need Hex Data,0,0,Named User,Yellow,0.9705882352941176,14431.8,284,2026-11-08,7,8,16,0,6,3
Institute of Molecular Genetics of the Czech Academy of Sciences,Need Hex Data,0,0,Named User,Green,1.0,5600.4,369,2027-02-01,7,20,18,0,4,3
Universidade do Minho - Life and Health Sciences Research Institute,Need Hex Data,0,0,Named User,Yellow,0.6363636363636364,6462.0,154,2026-07-01,7,8,2,0,4,6
Leibniz Institute on Aging â Fritz Lipmann Institute,Need Hex Data,0,0,Defined Group,Yellow,1.3027522935779816,22388.6,216,2026-09-01,5,8,18,0,8,2
Ospedale Pediatrico Bambino GesÃ¹ (Bambino GesÃ¹ Childrenâs Hospital) - Research Biobank,Need Hex Data,0,0,Right to Deploy,Red,0.8909090909090909,10123.8,-28,2025-12-31,3,3,10,0,6,15
