Opportunity Name,Renewal Target Amount,Renewal Date,Customer Usage Health,License Type,Opportunity Owner,TeamOrg ID,Renewed Contract Value*,Customer Relationship Health,$ Growth at Renewal,Churn Reason,Churn Reason Notes,CS POC Relationship Score,Current Number of Seats Available,Seats Filled,Seat Activation Rate,Active Users Last 90 Days,Initial Number of Seats
"CS FY27 Renewal:    Kaohsiung Medical University (KMU), College of Medicine",4523.4,8/1/2026,yellow,Named User,Fuzail Kadri,61f42a2afc6e620029fccdd4,,High Risk,0,,,,21,15,71,14,20
CS FY27 Renewal: Indian Institute of Science //Department of Developmental Biology and Genetics,4308,10/6/2026,yellow,Named User,Fuzail Kadri,68dad5180c147ce8fadd653d,,,0,,,,20,11,55,10,20
CS FY27 Renewal:  University of Cape Town - Neuroscience Institute,5385,6/10/2026,orange,Named User,Fuzail Kadri,665ddf9c2849fe8f98ca6b9e,5385,Extremely Healthy,0,,,Trusted Advisor (4/5),25,24,96,12,25
CS FY27 Renewal: Czech Academy of Sciences // Vaclav Paulocik // Institute of Physiology,5385,5/1/2026,orange,Right to Deploy,Fuzail Kadri,680a826ad39990b1f04ad9d8,5385,,0,,,,30,24,80,18,25
CS FY27 Renewal:   NIPER Hyderabad - Named User License,6462,6/26/2026,yellow,Named User,Fuzail Kadri,63eb9be53d028a3f6d93a6b1,,No Engagement,0,,,,30,29,97,21,30
CS FY28 Renewal:   Regional Centre for Biotechnology- 25 Named Users,5385,2/23/2027,green,Named User,Fuzail Kadri,65d83011115d06d5e73b4c21,,Neutral,0,,,Seat at the Table (3/5),25,24,96,23,25
CS FY27 Renewal: University of Saskatchewan // College of Dentistry,5385,1/29/2027,red,Defined Group,Fuzail Kadri,697280db2fd393636edab2ad,,,0,,,,40,10,25,9,25
CS FY27 Renewal:    Louisiana State University - Vet Med Department of Pathobiological Sciences,4954.2,11/7/2026,yellow,Named User,Fuzail Kadri,636563f5ca98ad565273d675,,Healthy,0,,,,23,23,100,15,23
CS FY27 Renewal:  State University of New York at Buffalo - Department of Pharmaceutical Sciences,6462,8/12/2026,yellow,Defined Group,Fuzail Kadri,66aa8cf20bae30dc094d08ef,,High Risk,0,,,Hard to Get (1/5),90,52,58,28,30
CS FY27 Renewal:  High Point University - Office of Information Technology,6462,1/6/2027,red,Right to Deploy,Fuzail Kadri,6765b42d7d3653e7ef375170,,Neutral,0,,,Transactional (2/5),30,19,63,10,30
